land_type,date,price
Agricultural land,1961,34539.0
Agricultural land,1962,34440.0
Agricultural land,1963,34354.0
Agricultural land,1964,34109.0
Agricultural land,1965,34001.0
Agricultural land,1966,33846.0
Agricultural land,1967,33629.0
Agricultural land,1968,33178.0
Agricultural land,1969,33173.0
Agricultural land,1970,32495.0
Agricultural land,1971,32623.0
Agricultural land,1972,32515.0
Agricultural land,1973,32460.0
Agricultural land,1974,32442.0
Agricultural land,1975,32357.0
Agricultural land,1976,32021.0
Agricultural land,1977,31910.0
Agricultural land,1978,31961.0
Agricultural land,1979,31834.0
Agricultural land,1980,31722.0
Agricultural land,1981,31687.0
Agricultural land,1982,31646.0
Agricultural land,1983,31565.0
Agricultural land,1984,31508.0
Agricultural land,1985,31442.0
Agricultural land,1986,31395.0
Agricultural land,1987,31353.0
Agricultural land,1988,30830.0
Agricultural land,1989,30740.9
Agricultural land,1990,30592.8
Agricultural land,1991,30484.9
Agricultural land,1992,30384.3
Agricultural land,1993,30291.3
Agricultural land,1994,30204.9
Agricultural land,1995,30150.2
Agricultural land,1996,30096.3
Agricultural land,1997,30039.6
Agricultural land,1998,29980.0
Agricultural land,1999,29929.1
Agricultural land,2000,29807.4
Agricultural land,2001,29713.3
Agricultural land,2002,29610.7
Agricultural land,2003,29534.6
Agricultural land,2004,29458.4
Agricultural land,2005,29390.4
Agricultural land,2006,29312.7
Agricultural land,2007,29206.1
Agricultural land,2008,29110.1
Agricultural land,2009,29019.9
